HouseID,Title,Location,Price,Gross_Area,Topology
ID1b2Ga.html#20f6406c72,Apartamento T2 para obras totais na Penha de França,Penha de França,260000,51,T2
ID1aLJ7.html#20f6406c72,"Apartamento T1, Totalmente Remodelado, com excelente loca...",Arroios,489000,68,T1
ID1b7aq.html#20f6406c72,Apartamento T2 para venda,"Rua Fernandes Tomás , Misericórdia",445000,76,T2
ID1aOCH.html#20f6406c72,Apartamento T4 para venda,Avenidas Novas,2450000,232.3,T4
ID1b2iC.html#20f6406c72,Apartamento T3 para venda,Avenidas Novas,695000,141,T3
ID1b78g.html#20f6406c72,Apartamento T3 para venda,"Rua São Filipe Neri , Santo António",1400000,144,T3
ID13ooD.html#20f6406c72,Apartamento T3 com Vista Rio - Parque das Nações Centro,Parque das Nações,682500,141,T3
ID1b7Tm.html#20f6406c72,"Avs. Novas., excelente T2, remodelado, varanda","Rua Carlos Reis , Avenidas Novas",340000,75,T2
ID1b7kT.html#20f6406c72,Apartamento T2 com vista de rio e jardim! Duas Varandas,"Calçada das Necessidades , Estrela",360000,68,T2
ID1b8JS.html#20f6406c72,"Apartamento T3 em Empreendimento de Luxo, Excelente Renta...",Belém,2500000,251.16,T3
ID1b8JR.html#20f6406c72,"Apartamento T3 em Empreendimento de Luxo, Excelente Renta...",Belém,2500000,254.34,T3
ID1b6WO.html#20f6406c72,Apartamento T2 remodelado perto da Estação,"Rua da Venezuela , Benfica",329900,64,T2
ID1b3Ed.html#20f6406c72,Apartamento T2 para venda,"Travessa de São Vicente , São Vicente",385000,111.8,T2
ID1b6St.html#20f6406c72,Apartamento T2+1 na Rua José Falcão - para remodelar,"Rua José Falcão , Arroios",299000,102,T4
ID1b8Rx.html#20f6406c72,T2 Remodelado - Carnide,Carnide,450000,NA,T2
ID1b6Vm.html#20f6406c72,"Apartamento contemporâneo T1+1 remodelado em Penha de França, Lisboa","Rua Sousa Viterbo , Penha de França",345000,77,T2
ID15EVe.html#20f6406c72,Edifício URBAN - Apartamento T1 Bloco B-3A,"Rua Fernando Palha , Marvila",425000,63.1,T1
ID15Eo5.html#20f6406c72,Edifício URBAN - Apartamento T2 Bloco A-1H,"Rua Fernando Palha , Marvila",635000,92.2,T2
ID1anmu.html#20f6406c72,Apartamento T1,"Rua das Janelas Verdes , Estrela",Preçosobconsulta,147.5,T1
ID1aTlW.html#6f1a9be426,"Apartamento T1 com varanda junto ao Marquês de Pombal, Li...",Arroios,766500,75.25,T1
ID1anme.html#6f1a9be426,Martinhal Residences - Apartmento T3,"Praça do Príncipe Perfeito , Parque das Nações",2100000,161.5,T3
ID1aTlS.html#6f1a9be426,"Apartamento T2 com varanda junto ao Marquês de Pombal, Li...",Arroios,892500,98.28,T2
ID19SAB.html#6f1a9be426,Apartamento T2 para venda,"Travessa da Água da Flor , Misericórdia",275000,81,T2
ID134Yu.html#6f1a9be426,Praça Londres - IST - Lisboa,Areeiro,855000,220,T4
ID1b8t7.html#6f1a9be426,APARTAMENTO T5 COM VISTA DESAFOGADA E MUITA LUMINUSIDADE EM S.DOMINGOS,São Domingos de Benfica,640000,28,T5
ID1b7P2.html#6f1a9be426,"T0 (com mezanine) remodelado, com terraço, em Santa Engrácia",São Vicente,170000,32,T0
ID16RW9.html#6f1a9be426,T3 para venda em Lisboa - Alure,Misericórdia,1412500,141.54,T3
ID15LGw.html#6f1a9be426,"T3, Belém (Lisboa), luxuoso com vista Rio e Jardim Botâni...",Belém,1750000,144.05,T3
ID1b8ly.html#6f1a9be426,Apartamento T3 para venda,Lumiar,470000,126,T3
ID1b8i3.html#6f1a9be426,Apartamento T2 com Excelentes Áreas em Benfica,Benfica,350000,94,T2
ID17FBY.html#6f1a9be426,"PF19368, Apartamento T4, Lisboa",Misericórdia,1490000,NA,T4
ID1aBt2.html#6f1a9be426,"PF30077, Apartamento T1, Lisboa",Parque das Nações,460000,NA,T1
ID1a0Cj.html#6f1a9be426,"PF29231, Apartamento T4, Lisboa",Parque das Nações,1720000,NA,T4
ID1b6nh.html#6f1a9be426,"T2 totalmente recuperado, equipado e mobilado em Campo de Ourique, Lis","Rua de Infantaria 16 16, Campo de Ourique",449900,63,T2
ID1b7G9.html#6f1a9be426,Apartamento T1 para venda,Parque das Nações,335000,55.12,T1
ID1b7FT.html#6f1a9be426,"Apartamento T3 em Remodelação Total, com Arrecadação e Ac...",Benfica,399900,103,T3
ID1b8gL.html#6f1a9be426,APARTAMENTO T1 | MISERICÓRDIA - SÃO BENTO,"Rua da Paz - São Bento , Misericórdia",259000,70,T1
ID1b8CT.html#6f1a9be426,Apartamento com 3 assoalhadas  a 5 minutos do metro,"Rua Heróis de Quionga , Penha de França",295000,70,T2
ID1aAby.html#6f1a9be426,"Apartamento T4 nos Olivais, em Lisboa",Olivais,330000,119,T4
ID1b8vh.html#6f1a9be426,Apartamento T0 para venda,Lumiar,270000,52.71,T0
ID1b7Ui.html#6f1a9be426,"APARTAMENTO T3+1 ARROIOS , LISBOA","Rua Ângela Pinto , Arroios",470000,118,T4
ID1b8tO.html#6f1a9be426,T1 em Campo de Ourique - Bom investimento em localização tranquila,"Estrada dos Prazeres , Campo de Ourique",167000,33,T1
ID18qWR.html#6f1a9be426,"Apartamento T2 com terraço junto à Av. Liberdade, Lisboa",Santo António,795000,117,T2
ID19IX6.html#99882fc0d0,"Apartamento T3 com varanda, na Lapa",Estrela,1250000,132,T3
ID1aueX.html#99882fc0d0,T3 em Belém com vista rio e rentabilidade garantida,Belém,2500000,177,T3
ID17ous.html#99882fc0d0,Apartamento T0 com rentabilidade garantida em Alfama,São Vicente,296000,32,T0
ID18mD9.html#99882fc0d0,"Apartamento T2 com vista cidade junto à Av. Liberdade, Li...",Santo António,595000,80,T2
ID18mVF.html#99882fc0d0,"Apartamento T1 charmoso junto à Avenida da Liberdade, Lisboa",Santo António,535000,75,T1
ID18qS8.html#99882fc0d0,"Apartamento T1 duplex com jardim e terraço, junto à Av. L...",Santo António,610000,106,T1
ID1b8KO.html#99882fc0d0,"Apartamento T3 a estrear na Lapa com 3 suites, terraço e ...",Estrela,1285000,153.48,T3
ID1aX1L.html#99882fc0d0,Lisboa - Sta.Catarina. Apartamento de 2 quartos e terraço por um dos g,"Rua da Hera , Misericórdia",995000,157.62,T2
ID1b8Tq.html#99882fc0d0,"Apartamento T1 a estrear, com garagem nas Avenidas Novas.",Avenidas Novas,490000,55.42,T1
ID1b8KB.html#99882fc0d0,"Apartamento T2 a estrear na Lapa com 2 suites, terraço e ...",Estrela,900000,130.38,T2
ID1b8Kw.html#99882fc0d0,Apartamento T2 pronto a estrear na Lapa com 2 suites e te...,Estrela,765000,141.76,T2
ID18zXW.html#99882fc0d0,Apartamento T3 com duas varandas e estacionamento na Estrela,Estrela,2125000,226.2,T3
ID18zXY.html#99882fc0d0,Apartamento T2+1 Duplex com arrecadação e estacionamento na Estrela,Estrela,1450000,152.3,T2
ID1aqTw.html#99882fc0d0,Edifício PARK Bloco C 5ºB,"Rua B aos Jardins Braço de Prata , Marvila",1000000,154.3,T2
ID19Rwe.html#99882fc0d0,Apartamento T3 com terraço perto da Avenida da Liberdade,Santo António,5021027,233,T3
ID1aqSA.html#99882fc0d0,Edifício PARK Bloco C 4ºC,"Rua B aos Jardins Braço de Prata , Marvila",400000,47.8,T0
ID1aLH3.html#99882fc0d0,Apartamento T1 com varanda e estacionamento na Praça de E...,Avenidas Novas,454000,55,T1
ID17AHd.html#99882fc0d0,Edifício SQUARE Bloco C-2ºF,"Rua B aos Jardins Braço de Prata , Marvila",510000,79.6,T1
ID19Rwd.html#99882fc0d0,Apartamento T2 com varanda perto da Avenida da Liberdade,Santo António,"1061785,44",88,T2
ID18n9z.html#99882fc0d0,"Apartamento T3 duplex com terraço e vista rio, junto à Av...",Santo António,1295000,156,T3
ID1aEV9.html#99882fc0d0,T1 Luxuoso em condominio fechado com Simpática Varanda,Belém,630000,76.65,T1
ID1aOav.html#99882fc0d0,"T2 Luxuoso em condomínio privado. Vista Rio, Palácio da A...",Belém,720000,95.25,T2
ID1aqN3.html#99882fc0d0,Edifício PARK Bloco B 1ºA,"Rua B aos Jardins Braço de Prata , Marvila",1210000,203.1,T3
ID1apyM.html#99882fc0d0,Edifício SQUARE Bloco F 3ºE,"Rua B aos Jardins Braço de Prata , Marvila",990000,188.9,T3
